模型：MultiModalBert，随便弄的，glyph和pinyin信息大概都是75%。
执行情况：花费2个多小时
Correction Precision: 0.0787985865724312, Recall: 0.16484938089074758, F1-Score: 0.10662841388307617
Correction Precision: 0.6064930991216112, Recall: 0.7109762824047231, F1-Score: 0.6545916203240241
Correction Precision: 0.6099235450147277, Recall: 0.7183020948179495, F1-Score: 0.6596911648057237


模型：MultiModalBert，最后的cls层使用了3层的前馈神经网络。不更新bert的权重，只更新cls的权重
执行情况：学习速度偏慢，但是能学会，到第20次的时候还在增长。到40次，f1到48时就出现瓶颈了
Correction Precision: 0.008080127935358807, Recall: 0.07181597157283115, F1-Score: 0.014525921400909513
Correction Precision: 0.02605912257578512, Recall: 0.12936997569636766, F1-Score: 0.04338014014216185
Correction Precision: 0.06378037160552263, Recall: 0.20037418147797934, F1-Score: 0.09676107837064266
Correction Precision: 0.11207194742302731, Recall: 0.24251497005983483, F1-Score: 0.15330021248460957
Correction Precision: 0.17475394827189575, Recall: 0.2859550561797217, F1-Score: 0.2169342231404072
Correction Precision: 0.24415903811992837, Recall: 0.334143605085951, F1-Score: 0.2821504692365423
Correction Precision: 0.3196187450356919, Recall: 0.37642656688486875, F1-Score: 0.345704466857223
Correction Precision: 0.38469694292270984, Recall: 0.4072965388212521, F1-Score: 0.3956742997547881
Correction Precision: 0.4555619818776835, Recall: 0.44242651188907645, F1-Score: 0.448898175791815
Correction Precision: 0.5116422831237355, Recall: 0.4644594089037664, F1-Score: 0.48691048092081984
Correction Precision: 0.5555317783007584, Recall: 0.48568755846576506, F1-Score: 0.5182671186876124
Correction Precision: 0.5985742927153934, Recall: 0.5026187803964641, F1-Score: 0.5464158612220381
Correction Precision: 0.639269406392548, Recall: 0.5242463958059307, F1-Score: 0.5760724200376349
Correction Precision: 0.6728164409153029, Recall: 0.5395131086141312, F1-Score: 0.5988360003373486
Correction Precision: 0.689922480619993, Recall: 0.5499999999998969, F1-Score: 0.6120662702158364
Correction Precision: 0.7267139479903718, Recall: 0.5752245508980959, F1-Score: 0.6421558382365287
Correction Precision: 0.749217809867449, Recall: 0.5823045267488622, F1-Score: 0.6552994416717016
Correction Precision: 0.765828902851434, Recall: 0.5931124836233215, F1-Score: 0.6684948840137894
Correction Precision: 0.781679764243423, Recall: 0.5957327344187543, F1-Score: 0.6761550712030736
Correction Precision: 0.794430992735885, Recall: 0.613615111277237, F1-Score: 0.6924132104398286
再学20次：
Correction Precision: 0.8120740019472219, Recall: 0.6239012530389706, F1-Score: 0.7056583813170033
Correction Precision: 0.81771720613268, Recall: 0.6281547952887215, F1-Score: 0.7105096209929016
Correction Precision: 0.8236580034003342, Recall: 0.6344246959774303, F1-Score: 0.7167617834862875
Correction Precision: 0.836779372415267, Recall: 0.6437125748501789, F1-Score: 0.7276573236754563
Correction Precision: 0.840309702395151, Recall: 0.6503745318350841, F1-Score: 0.733241844752341
Correction Precision: 0.8455971049455137, Recall: 0.6553851907253823, F1-Score: 0.7384388491865846
Correction Precision: 0.853188929000998, Recall: 0.6632366697847215, F1-Score: 0.7463157889813723
Correction Precision: 0.8585907335905263, Recall: 0.6656688493918305, F1-Score: 0.7499209606207189
Correction Precision: 0.860687022900558, Recall: 0.6755289271670706, F1-Score: 0.7569495431974435
Correction Precision: 0.861961722487832, Recall: 0.6739618406283812, F1-Score: 0.7564560146238554
Correction Precision: 0.8667944417822551, Recall: 0.6768942937323336, F1-Score: 0.7601638822682009
Correction Precision: 0.8672714251609291, Recall: 0.6795735129067191, F1-Score: 0.7620346088412346
Correction Precision: 0.8678885979526617, Recall: 0.6826436996815797, F1-Score: 0.7642003767863729
Correction Precision: 0.8730385164049279, Recall: 0.6876404494380735, F1-Score: 0.7693274665087804
Correction Precision: 0.8734356552536308, Recall: 0.6926966292133534, F1-Score: 0.7726370752245133
Correction Precision: 0.8795352146073322, Recall: 0.6940494011974748, F1-Score: 0.7758602651693725
Correction Precision: 0.879461120302321, Recall: 0.6960344182565102, F1-Score: 0.7770700632008825
Correction Precision: 0.8794359576966205, Recall: 0.7003556054649633, F1-Score: 0.779745779877173
Correction Precision: 0.8804143126174951, Recall: 0.6999812839227587, F1-Score: 0.7798978203800905
Correction Precision: 0.8796816479398689, Recall: 0.7028240134653632, F1-Score: 0.7813702043090763
Correction Precision: 0.8834427767352524, Recall: 0.7045072002991014, F1-Score: 0.7838934549218551
Correction Precision: 0.8850198644541049, Recall: 0.7083800972688536, F1-Score: 0.7869090904150721

模型：MultiModalBert，最后的cls层使用了2层的Transformer。不更新bert的权重，只更新cls的权重
执行情况：比3层Dense层好，训练到40个epoch后效果和之前的差不都，虽然还在涨，但感觉涨不太动了。
Correction Precision: 0.0038887773172912956, Recall: 0.039335180055394395, F1-Score: 0.007077822658077036
Correction Precision: 0.024105629975382074, Recall: 0.13921713441651787, F1-Score: 0.041095516848798676
Correction Precision: 0.057618497109823925, Recall: 0.22993172171983206, F1-Score: 0.09214613190850107
Correction Precision: 0.09968827930173942, Recall: 0.29512735326683365, F1-Score: 0.14903532444308504
Correction Precision: 0.15292973498661536, Recall: 0.3481549815497512, F1-Score: 0.21251196533971026
Correction Precision: 0.2155562255049527, Recall: 0.3959025470652647, F1-Score: 0.2791333198635847
Correction Precision: 0.2769830949284458, Recall: 0.43260709010331744, F1-Score: 0.3377297292537307
Correction Precision: 0.3364661654134886, Recall: 0.4632162661736666, F1-Score: 0.3897962353190023
Correction Precision: 0.389415950192649, Recall: 0.4844182186980482, F1-Score: 0.43175281403455945
Correction Precision: 0.4398774983880658, Recall: 0.5035984498984123, F1-Score: 0.46958616486398264
Correction Precision: 0.48995708154498024, Recall: 0.527541589648701, F1-Score: 0.5080551841912904
Correction Precision: 0.5364394488758998, Recall: 0.5458402508761213, F1-Score: 0.5410990211695008
Correction Precision: 0.5791258477768313, Recall: 0.5675775480058036, F1-Score: 0.5732935466838304
Correction Precision: 0.6156694601441014, Recall: 0.5834872552640222, F1-Score: 0.599146514436235
Correction Precision: 0.6457336523124709, Recall: 0.5981532779315608, F1-Score: 0.6210334574624569
Correction Precision: 0.6777755060313477, Recall: 0.6121883656508564, F1-Score: 0.6433145735357106
Correction Precision: 0.6961712638944635, Recall: 0.6239852398522834, F1-Score: 0.6581046891296991
Correction Precision: 0.7156249999998509, Recall: 0.6338807898135017, F1-Score: 0.6722771303364224
Correction Precision: 0.7300420168065692, Recall: 0.6417359187441104, F1-Score: 0.6830466825486207
Correction Precision: 0.7457088366177694, Recall: 0.6499815293681843, F1-Score: 0.6945623206311995
Correction Precision: 0.7645429362879257, Recall: 0.6628486975797777, F1-Score: 0.7100732233298266
Correction Precision: 0.7773479475605464, Recall: 0.6679593721143734, F1-Score: 0.7185141035948945
Correction Precision: 0.7924691625187638, Recall: 0.6757704373499398, F1-Score: 0.7294820712161606
Correction Precision: 0.7993506493504763, Recall: 0.6811139800810252, F1-Score: 0.7355108539145143
Correction Precision: 0.8087277464175404, Recall: 0.6875230712438746, F1-Score: 0.7432162804289109
Correction Precision: 0.8178058336959473, Recall: 0.6931734317341894, F1-Score: 0.7503495101882929
Correction Precision: 0.8325285338013976, Recall: 0.6999446392322015, F1-Score: 0.7605012526364222
Correction Precision: 0.8353792196403254, Recall: 0.703915773919338, F1-Score: 0.7640336803374954
Correction Precision: 0.8404022737208481, Recall: 0.7096178696694277, F1-Score: 0.7694925427923656
Correction Precision: 0.8480349344976313, Recall: 0.7170020306441356, F1-Score: 0.7770331094363292
Correction Precision: 0.8517626450622177, Recall: 0.7177121771216387, F1-Score: 0.7790127160349823
Correction Precision: 0.8564530289725951, Recall: 0.7205909510617321, F1-Score: 0.7826697417560863
Correction Precision: 0.8593030900721325, Recall: 0.722631772944946, F1-Score: 0.7850635694304944
Correction Precision: 0.8635164835162936, Recall: 0.7245067305917896, F1-Score: 0.7879274034944482
Correction Precision: 0.8666959000217349, Recall: 0.7290667650312193, F1-Score: 0.7919463082283926
Correction Precision: 0.8686403508770024, Recall: 0.7310815799186542, F1-Score: 0.793946682205482
Correction Precision: 0.8735404274067253, Recall: 0.7318198597267014, F1-Score: 0.7964246253950694
Correction Precision: 0.8739864124477593, Recall: 0.736608792020551, F1-Score: 0.7994387085342481
Correction Precision: 0.8758741258739344, Recall: 0.7404396822463069, F1-Score: 0.8024827305074542
Correction Precision: 0.8809732573430773, Recall: 0.7411027106766105, F1-Score: 0.8050075107704568
Correction Precision: 0.8807017543857717, Recall: 0.7420546932740683, F1-Score: 0.8054552742728425
Correction Precision: 0.8846238694019667, Recall: 0.7406723309935831, F1-Score: 0.8062732477193024

模型：MultiModalBert，使用macbert作为backbone，macbert的head。0.25的loss和0.75的soft_loss
执行情况：第13个epoch就early stop了，训练数据差不多可以完全拟合
Correction Precision: 0.5767513471900574, Recall: 0.6990110095165704, F1-Score: 0.6320229453455516
Correction Precision: 0.6840418353575094, Recall: 0.755965697240724, F1-Score: 0.7182075800891469
Correction Precision: 0.7334382101030006, Recall: 0.7838595180271279, F1-Score: 0.7578110885378
Correction Precision: 0.7826656682888837, Recall: 0.7803284807762634, F1-Score: 0.7814953266026586
Correction Precision: 0.8127809263238591, Recall: 0.7765123226286824, F1-Score: 0.794232788576782
Correction Precision: 0.8349514563105107, Recall: 0.7697184411708428, F1-Score: 0.8010090224947524
Correction Precision: 0.882488963632356, Recall: 0.7832089552237345, F1-Score: 0.8298902831825451
Correction Precision: 0.9011652999566462, Recall: 0.7793952967523741, F1-Score: 0.8358686944584225
Correction Precision: 0.902780771717848, Recall: 0.7816349384097084, F1-Score: 0.8378513549090406
Correction Precision: 0.9034557235419214, Recall: 0.7795378307862878, F1-Score: 0.8369347734121069
Correction Precision: 0.9037629757783512, Recall: 0.7792280440050756, F1-Score: 0.8368879538432128
Correction Precision: 0.9027178602241365, Recall: 0.780055917986807, F1-Score: 0.8369163078716523
Correction Precision: 0.9040622299047311, Recall: 0.7801603580084318, F1-Score: 0.8375537979211151
Epoch 13 Training: 100% 250/250 [03:02<00:00,  1.37it/s, loss=0.00329, c_precision=0.996, c_recall=0.999, c_f1_score=0.998]
Correction Precision: 0.903434867141736, Recall: 0.7793514722324302, F1-Score: 0.8368184087071534

模型：MultiModalBert，使用macbert作为backbone，macbert的head。加入了FocalLoss中的难易样本的权重
执行情况：12个epoch就early stop了。训练数据差不多可以完全拟合
Correction Precision: 0.5514391564546733, Recall: 0.361074827393103, F1-Score: 0.436400540793651
Correction Precision: 0.8061327927012656, Recall: 0.5930275913496283, F1-Score: 0.6833512347423867
Correction Precision: 0.8396048918154186, Recall: 0.6669157481784668, F1-Score: 0.7433628313648218
Correction Precision: 0.8557303370784592, Recall: 0.7107129525941189, F1-Score: 0.7765089717716637
Correction Precision: 0.9154539154537039, Recall: 0.7399178491410119, F1-Score: 0.8183789360051951
Correction Precision: 0.9182681176196067, Recall: 0.7395114674621033, F1-Score: 0.8192522201212195
Correction Precision: 0.9211799953904306, Recall: 0.7457089552237414, F1-Score: 0.8242086808127218
Correction Precision: 0.9244845957838951, Recall: 0.7448674878684686, F1-Score: 0.8250129194022586
Correction Precision: 0.924663885025284, Recall: 0.7444942142589128, F1-Score: 0.824855251780262
Correction Precision: 0.9230235783631707, Recall: 0.7441297055533461, F1-Score: 0.8239785385068251
Correction Precision: 0.923432801295183, Recall: 0.7443595002795553, F1-Score: 0.8242824690492652
Correction Precision: 0.9235389235387101, Recall: 0.7452003727864407, F1-Score: 0.8248401067883957
Epoch 12 Training: 100% 250/250 [03:20<00:00,  1.25it/s, loss=0.00252, c_precision=0.998, c_recall=0.989, c_f1_score=0.993]
Correction Precision: 0.9238954429791987, Recall: 0.7447324258808978, F1-Score: 0.8246954362183752
Eval情况：
Character-level Detect Acc: 0.9748, P: 0.4110, R: 0.4540, F1: 0.4315
Character-level Correct Acc: 0.9735, P: 0.3775, R: 0.3946, F1: 0.3859
Sentence-level Detect Acc: 0.4891, P: 0.4767, R: 0.3193, F1: 0.3824
Sentence-level Correct Acc: 0.4755, P: 0.4543, R: 0.2917, F1: 0.3553

# FIXME 有问题，实际上是2的copy_loss，代码有bug
模型：MultiModalBert，使用macbert作为backbone，macbert的head。加入了FocalLoss中的难易样本的权重。在此基础上，0.25的loss和0.75的soft_loss
执行情况：执行了7个epoch手动停了，基本上已经过拟合训练集了。
Correction Precision: 0.5744434807746244, Recall: 0.3707781302481114, F1-Score: 0.45066908548364637
Correction Precision: 0.8090050835146915, Recall: 0.623042505592725, F1-Score: 0.7039494465856923
Correction Precision: 0.8412338398727962, Recall: 0.69288249579662, F1-Score: 0.7598852689165255
Correction Precision: 0.871522280026946, Recall: 0.719111608809123, F1-Score: 0.7880151339762567
Correction Precision: 0.9187457083998811, Recall: 0.7494398805077017, F1-Score: 0.825501284852024
Correction Precision: 0.9175022789423615, Recall: 0.7506992355023772, F1-Score: 0.8257614598678692
Correction Precision: 0.9252807701120959, Recall: 0.7531716417909042, F1-Score: 0.8304021387625171
Epoch 7 Training: 100% 250/250 [03:29<00:00,  1.19it/s, loss=0.00252, c_precision=0.996, c_recall=0.986, c_f1_score=0.991]
Correction Precision: 0.9253216911762578, Recall: 0.7515864128404718, F1-Score: 0.8294541704629714
Eval情况：
Character-level Detect Acc: 0.9752, P: 0.4223, R: 0.4880, F1: 0.4528
Character-level Correct Acc: 0.9738, P: 0.3886, R: 0.4243, F1: 0.4057
Sentence-level Detect Acc: 0.5155, P: 0.5155, R: 0.3651, F1: 0.4275
Sentence-level Correct Acc: 0.4936, P: 0.4834, R: 0.3211, F1: 0.3859

模型：MultiModalBert，使用macbert作为backbone，macbert的head。加入了FocalLoss中的难易样本的权重。
在此基础上，0.25的loss和0.75的soft_loss。增加0.25的label_smooth
执行情况：执行了16个epoch然后early stop了，基本上已经过拟合训练集了。
**看起来label_smooth过拟合没什么效果**
Correction Precision: 0.5835205992507906, Recall: 0.43608882254143755, F1-Score: 0.499145663756396
Correction Precision: 0.8026375625282395, Recall: 0.6580909768828005, F1-Score: 0.7232124559685873
Correction Precision: 0.8683566822324064, Recall: 0.7294974780495554, F1-Score: 0.7928934005188435
Correction Precision: 0.898992161253998, Recall: 0.7491601343783596, F1-Score: 0.8172656006441469
Correction Precision: 0.912605811027016, Recall: 0.7447722180730498, F1-Score: 0.8201912198195467
Correction Precision: 0.915374087591032, Recall: 0.7482752190936512, F1-Score: 0.8234328506385572
Correction Precision: 0.9153583617745357, Recall: 0.7505597014923973, F1-Score: 0.8248077903811972
Correction Precision: 0.9156599042623852, Recall: 0.7497200447926932, F1-Score: 0.8244227804180838
Correction Precision: 0.9151308304889839, Recall: 0.7506532288165825, F1-Score: 0.8247718645718641
Correction Precision: 0.9153968614962666, Recall: 0.750093179276789, F1-Score: 0.8245416362967262
Correction Precision: 0.9146951774338228, Recall: 0.749766921499021, F1-Score: 0.8240598417016866
Correction Precision: 0.915739268680237, Recall: 0.7515377446410527, F1-Score: 0.8255528250575059
Correction Precision: 0.9164389799633613, Recall: 0.750512772701706, F1-Score: 0.8252178365114479
Correction Precision: 0.9157559198540719, Recall: 0.7495341036152162, F1-Score: 0.8243492514006928
Correction Precision: 0.9154704944176542, Recall: 0.7493472584854999, F1-Score: 0.8241206025198847
Correction Precision: 0.9149954421146501, Recall: 0.7499066118788289, F1-Score: 0.824266063967896
Epoch 16 Training: 100% 250/250 [03:17<00:00,  1.26it/s, loss=0.00509, c_precision=0.99, c_recall=0.954, c_f1_score=0.972]
Correction Precision: 0.9151308304889839, Recall: 0.7502331654540663, F1-Score: 0.8245182446871847
Eval情况：
Character-level Detect Acc: 0.9734, P: 0.3960, R: 0.4979, F1: 0.4411
Character-level Correct Acc: 0.9718, P: 0.3561, R: 0.4201, F1: 0.3855
Sentence-level Detect Acc: 0.4809, P: 0.4695, R: 0.3670, F1: 0.4119
Sentence-level Correct Acc: 0.4582, P: 0.4364, R: 0.3211, F1: 0.3700


FIXME：有问题，忘了Ignore 0 index了
模型：MultiModalBert，使用macbert作为backbone，macbert的head。加入了FocalLoss中的难易样本的权重。在此基础上，0.1的loss和0.9的soft_loss
执行情况：13个epoch后early stop，完全拟合训练集。
Correction Precision: 0.4687731424338512, Recall: 0.3543571561857894, F1-Score: 0.4036131769803506
Correction Precision: 0.7464197530862354, Recall: 0.5635719612228628, F1-Score: 0.6422349687044209
Correction Precision: 0.8145421076850403, Recall: 0.6613114141601604, F1-Score: 0.7299721615838041
Correction Precision: 0.8288188277085192, Recall: 0.6967151922357788, F1-Score: 0.7570472515822815
Correction Precision: 0.8664660958109542, Recall: 0.6990291262134617, F1-Score: 0.7737935305585719
Correction Precision: 0.8629893238432244, Recall: 0.7234756666043775, F1-Score: 0.7870980824735822
Correction Precision: 0.9070351758791897, Recall: 0.7408582089550856, F1-Score: 0.8155678779193757
Correction Precision: 0.9192415730334926, Recall: 0.7329227323626851, F1-Score: 0.8155763234937283
Correction Precision: 0.9134149157236403, Recall: 0.7383351997012433, F1-Score: 0.8165961394579724
Correction Precision: 0.9147161066046546, Recall: 0.7355572120758972, F1-Score: 0.8154116305355767
Correction Precision: 0.9147556173266354, Recall: 0.7363415998506924, F1-Score: 0.8159090904147605
Correction Precision: 0.9150266265337079, Recall: 0.7366262814537303, F1-Score: 0.81619165584602
Correction Precision: 0.9158553546590366, Recall: 0.7367145254520349, F1-Score: 0.8165753844390538
Epoch 13 Training: 100% 250/250 [03:27<00:00,  1.20it/s, loss=0.0464, c_precision=0.983, c_recall=0.99, c_f1_score=0.987]
Correction Precision: 0.9151992585725404, Recall: 0.73611628773747, F1-Score: 0.8159471178696862
Eval情况：感觉泛化性还不错
Character-level Detect Acc: 0.9767, P: 0.4511, R: 0.4823, F1: 0.4662
Character-level Correct Acc: 0.9752, P: 0.4122, R: 0.4116, F1: 0.4119
Sentence-level Detect Acc: 0.5064, P: 0.5026, R: 0.3541, F1: 0.4155
Sentence-level Correct Acc: 0.4836, P: 0.4680, R: 0.3083, F1: 0.3717


FIXME：有问题，忘了Ignore 0 index了
模型：MultiModalBert，使用macbert作为backbone，macbert的head。加入了FocalLoss中的难易样本的权重。在此基础上，0.01的loss和0.99的soft_loss
执行情况：在11个Epoch的时候，我手动停了，因为早就过拟合训练数据了，再训练下去也不会有啥太好的效果了。
Correction Precision: 0.5451686678100214, Recall: 0.35584997200963686, F1-Score: 0.4306198482292144
Correction Precision: 0.794760935910276, Recall: 0.5825876211781166, F1-Score: 0.672332185398123
Correction Precision: 0.8350058343055227, Recall: 0.6684102372500151, F1-Score: 0.7424776919733023
Correction Precision: 0.8518183871694484, Recall: 0.7038073908173378, F1-Score: 0.7707715886714612
Correction Precision: 0.8902906059921399, Recall: 0.7378640776697651, F1-Score: 0.8069423170131504
